Topic,Programme Name,Programme Faculty,Programme Duration,Local Total Tuition Fee (RM),International Total Tuition Fee (RM),Description,URL,Fields of Research,Entry Requirements,Intake,Programme Structure,Career Prospects,Professional Qualification Exemptions,Entry Requirements International,Application Form,Form Submission,Details,Eligibility,Guideline,Advance Disbursement
"Programmes And Courses, Faculty Of Engineering (foe), Master Of Engineering (telecommunications) (by Coursework)",Master of Engineering (Telecommunications) (By Coursework),Faculty of Engineering (FOE),"Full-Time: 1 ??3 years
Part-Time: 2 ??5 years","RM19,500.00","RM24,375.00",,,,,,,,,,,,,,,
"Programmes And Courses, Faculty Of Engineering (foe), Master Of Electrical And Electronics Engineering (by Coursework)",Master of Electrical and Electronics Engineering (By Coursework),Faculty of Engineering (FOE),"Full-Time: 1 ??3 years
Part-Time: 2 ??5 years","RM19,500.00","RM24,375.00",,,,,,,,,,,,,,,
"Programmes And Courses, Faculty Of Engineering (foe), Master Of Science In Engineering Business Management (by Coursework)",Master of Science in Engineering Business Management (By Coursework),Faculty of Engineering (FOE),"Full-Time: 1 ??3 years
Part-Time: 2 ??5 years","RM19,500.00","RM23,750.00",,,,,,,,,,,,,,,
"Programmes And Courses, Faculty Of Information Science And Technology (fist), Bachelor Of Information Technology (hons.) Data Communications And Networking",Bachelor of Information Technology (Hons.) Data Communications and Networking,Faculty of Information Science and Technology (FIST),3 years,"RM62,250.00","RM75,000.00","Data Communications and networking graduates are expected to possess the knowledge and skills necessary to design, build, maintain and manage network and communication systems in any organisation. Therefore, this three-year programme will educate them on the core components of communication, such as Internet Computing, TCP/IP Programming, High-Speed networks, Cloud Computing and Real-Time Systems.",https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fist/bachelor-of-information-technology-hons-data-communications-and-networking/,,"Pass Foundation / Matriculation studies from a recognised institution and a Credit in Mathematics at SPM Level or its equivalent; OR
Pass STPM or its equivalent with a minimum Grade C (GP 2.00) in any 2 subjects a AND a Credit in Mathematics at SPM Level or its equivalent; OR
Pass A-Level with a minimum of Grade D in any 2 subjects AND a Credit in Mathematics at SPM Level or its equivalent; OR
Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English; OR
Diploma in Computer Science OR Software Engineering OR Information Technology OR Information Systems or equivalent with a minimum CGPA of 2.50 AND a Credit in Mathematics at SPM Level or its equivalent. Candidates with CGPA below 2.50 may be admitted subject to a rigorous internal assessment process; OR
Any other Diploma in Science and Technology or Business Studies with a minimum CGPA of 2.5 may be admitted, subject to a rigorous internal assessment process AND a Credit in Mathematics at SPM Level or its equivalent;* OR
Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.**

Note:
* Candidates without a Credit in Mathematics at SPM Level or its equivalent may be admitted if
the qualification contains subjects in Mathematics and the achievement is higher or equivalent to the requirement of the subject at SPM Level or its equivalent.
** DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement.",,"Core

Year 1

Mathematical Techniques
Computer Programming
Database Systems
Operating Systems
Discrete Mathematics and Probability
Computer Architecture and Organisation
Data Communications and Networking
Ethics and Professional Conducts
U2
U3
U4


Year 2

Data Structures and Algorithms
Object Oriented Programming
System Analysis and Design
Computer Networks
System Administration and Maintenance
Technopreneur Venture
Human Computer Interaction
Information Assurance and Security
Web Techniques and Application
System Integration and Architecture
Routing and Switching
Industrial Training
Elective 1


Year 3

Project
TCP/IP Programming
Network Security and Management
Cloud Computing
Integrative Programming and Technologies
High Speed Networks
Mobile and Wireless Communications
Real-Time System
Elective 2
Elective 3
Elective 4
U1




Elective Subjects (Choose any 4 subjects)

Project Management for Business Analysts
Internet Marketing
Knowledge Intelligence
Artificial Intelligence Fundamentals
Mobile Application Development
Ethical Hacking and Security Assessment
Data Analytics Fundamentals
Mining and Machine Learning
Internet of Things Fundamentals
Management of Information Security


University Subjects

U1 ??MPU3113 Hubungan Etnik AND MPU3123 Tamadun Islam dan Tamadun Asia (Local) ??MPU3143 Bahasa Komunikasi 2 AND MPU3173 Pengajian Malaysia 3 (International)
U2 ??Subject code starts with MPU32XX (for local student who got exemption in SPM Bahasa Melayu & for International Students). MPU3210 Bahasa Kebangsaan A (for local student without credit in SPM Bahasa Melayu)
U3 ??Subject code starts with MPU33XX
U4 ??Subject code starts with MPU34XX","System Programmer, Network Engineer, Network Administrator.",,"I. Pass Foundation / Matriculation studies from a recognised institution and a Credit in Mathematics at SPM Level or its equivalent; OR
II. Pass STPM or its equivalent with a minimum Grade C (GP 2.00) in any 2 subjects a AND a Credit in Mathematics at SPM Level or its equivalent; OR
III. Pass A-Level with a minimum of Grade D in any 2 subjects AND a Credit in Mathematics at SPM Level or its equivalent; OR
IV. Diploma in Computer Science OR Software Engineering OR Information Technology OR Information Systems or equivalent with a minimum CGPA of 2.50 AND a Credit in Mathematics at SPM Level or its equivalent. Candidates with CGPA below 2.50 may be admitted subject to a rigorous internal assessment process; OR
V. Any other Diploma in Science and Technology or Business Studies with a minimum CGPA of 2.50 may be admitted, subject to a rigorous internal assessment process AND a Credit in Mathematics at SPM Level or its equivalent;* OR
VI. Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.** AND
VII. A minimum score of 5.0 for IELTS or its equivalent.
Note:
*Candidates without a Credit in Mathematics at SPM Level or its equivalent may be admitted if the qualification contains subjects in Mathematics and the achievement is higher or equivalent to the
requirement of the subject at SPM Level or its equivalent.
**DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement.",,,,,,
"Programmes And Courses, Faculty Of Law (fol), Doctor Of Philosophy (ph.d.) Laws (by Research)",Doctor of Philosophy (Ph.D.) Laws (By Research),Faculty of Law (FOL),"Full-Time: Min. 3 years, Max. 5 years
Part-Time: Min. 5 years, Max. 7 years","RM2,900.00/year","RM3,550/year","Our post graduate programmes LLM by research and PhD draw on the research strengths of the faculty's academic staff who are active researchers in a wide area of national and international issues, legal reform and development. We are committed to providing the very best learning experience for all our students in a stimulating, supportive and research-led environment.",https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fol/doctor-of-philosophy-laws/,"Alternative Dispute Resolution
Banking Law
Business Law
Child Law
Constitutional Law
Contract Law
Corporate Law
Criminal Law
Cyber Law
Employment Law
Human Rights Law
Industrial Relations Law
Information Technology Law
International Law
Labour Law
Law?and?Economics
Law and Technology
Media Law
Medical Law and Ethics
Sports Law
Securities Law","A Bachelor degree (Level 6, MQF) in Law AND a Master's degree in Law (Level 7, MQF) or related fields or its equivalent qualification as accepted by the HEP Senate;
English Entry Requirement:
??Minimum IELTS overall band score of 6.0 or its equivalent*
??*The equivalency table is as below:



English Competency
CEFR High
B1
CEFR Low
B2
CEFR Mid
B2
CEFR High
B2


MUET
Band 3
Band 3
Band 4
Band 4


IELTS
5.0
5.5
6.0
6.5


TOEFL iBT
42
46
60
79


Pearson Test of English
47
51
59
63


Cambridge English Qualifications and Test
154
160
169
176


Linguaskill
154
160
169
176



??In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University.
??The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor's or Master's degrees from countries that use English as the medium of instruction as well as the first language.",Throughout the year,"Advanced Research Methodology for Law
Qualitative & Quantitative Research Methods for Law
Commercialisation & Entrepreneurship",,,"A Bachelor degree (Level 6, MQF) in Law AND a Master? degree in Law (Level 7, MQF) or related fields or its equivalent qualification as accepted by the Senate;
English Language Requirement
An applicant is required to possess a sufficient level of English language proficiency by obtaining one of the following:
(1) a minimum IELTS overall band score of 6.0 ; or
(2) a minimum overall TOEFL iBT score of 60 ; or
(3) a minimum MUET overall band score of 4 ; or
(4) a minimum Pearson Test of English score of 59 ; or
(5) a minimum Cambridge Qualifications and Test score of 169; or
(6) a minimum Linguaskill overall band score of 169
In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University.
The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor? or Master? degrees from countries that use English as the medium of instruction as well as the first language",,,,,,
"Programmes And Courses, Faculty Of Management (fom), Foundation In Management",Foundation in Management,Faculty of Management (FOM),1 year,"RM6,750.00","RM20,000.00","Management, finance and business skills are fundamental for success in any industry. Companies are constantly looking for employees with excellent management skills and sharp business acumen, such as those our graduates acquire through our Bachelor programmes.",https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fom/foundation-in-management/,,"Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects, inclusive of English; OR
Pass UEC with a minimum of Grade B in at least three (3) subjects inclusive of English OR a minimum of Grade C in English at SPM/O-Level or its equivalent.




Additional Requirement to pursue Bachelor of Accounting (Honours), Bachelor of Finance (Hons) and Bachelor of Financial Engineering (Hons):

A Credit in Mathematics at SPM Level or its equivalent.",,"Trimester 1

Communicative English
Essential Mathematics
Essential of Microeconomics
Essential of Financial Accounting
University Study Skills


Trimester 2

Essential English
Computer Applications in Business
Introduction to Business
Introduction to Law
Essential Statistics
Social and Emotional Health


Trimester 3

Academic English
Essential of Macroeconomics
Essential of Management Accounting",,,"I. Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects, inclusive of English; AND
II. A minimum score of 4.0 for IELTS or its equivalent. Additional Requirement to pursue Bachelor of Accounting (Honours), Bachelor of Finance (Hons) and Bachelor of Financial Engineering (Hons):
A Credit in Mathematics at SPM Level or its equivalent.",,,,,,
"Programmes And Courses, Faculty Of Law (fol), Master Of Laws (by Research)",Master of Laws (By Research),Faculty of Law (FOL),"Full-Time: Min. 2 years, Max. 3 years
Part-Time: Min. 3 years, Max. 5 years","RM2,900.00/year","RM3,550/year","Our post graduate programmes LLM by research and PhD draw on the research strengths of the faculty's academic staff who are active researchers in a wide area of national and international issues, legal reform and development. We are committed to providing the very best learning experience for all our students in a stimulating, supportive and research-led environment.",https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fol/master-of-laws/,"Alternative Dispute Resolution
Banking Law
Business Law
Child Law
Constitutional Law
Contract Law
Corporate Law
Criminal Law
Cyber Law
Employment Law
Human Rights Law
Industrial Relations Law
Information Technology Law
International Law
Labour Law
Law and Economics
Law and Technology
Media Law
Medical Law and Ethics
Sports Law
Securities Law","A bachelor's degree in Law or related fields with minimum CGPA of 2.75 out of 4.00 or its equivalent qualification as accepted by the HEP Senate; OR
A bachelor's degree in Law or related fields not meeting CGPA of 2.75 but above 2.50 out of 4.00 or its equivalent qualification can be accepted by HEP Senate subject to rigorous internal assessment; OR
A bachelor's degree in Law or related fields below a CGPA of 2.50 out of 4.00 or its equivalent qualification can be accepted by the HEP senate, subject to a minimum 5 years working experience in the relevant field.


English Entry Requirement:
??Minimum IELTS overall band score of 6.0 or its equivalent*
??*The equivalency table is as below:



English Competency
CEFR High
B1
CEFR Low
B2
CEFR Mid
B2
CEFR High
B2


MUET
Band 3
Band 3
Band 4
Band 4


IELTS
5.0
5.5
6.0
6.5


TOEFL iBT
42
46
60
79


Pearson Test of English
47
51
59
63


Cambridge English Qualifications and Test
154
160
169
176


Linguaskill
154
160
169
176



??In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University.
??The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor's or Master's degrees from countries that use English as the medium of instruction as well as the first language.",Throughout the year,"Research Methodology for Law
Legal Writing, Reasoning and Analysis
Commercialisation & Entrepreneurship",,,"i. A Bachelor? degree in Law or related fields with a minimum CGPA of 2.75 out of 4.00 or its equivalent qualification as accepted by the Senate; OR
ii. A Bachelor? degree in Law or related fields not meeting CGPA of 2.75 but above 2.50 out of 4.00 or its equivalent qualification can be accepted by the Senate subject to rigorous internal assessment; OR
iii. A Bachelor? degree in Law or related fields below a CGPA of 2.50 out of 4.00 or its equivalent qualification can be accepted by the senate, subject to a minimum of 5 years working experience in the relevant field.
English Language Requirement
An applicant is required to possess a sufficient level of English language proficiency by obtaining one of the following:
(1) a minimum IELTS overall band score of 6.0 ; or
(2) a minimum overall TOEFL iBT score of 60 ; or
(3) a minimum MUET overall band score of 4 ; or
(4) a minimum Pearson Test of English score of 59 ; or
(5) a minimum Cambridge Qualifications and Test score of 169; or
(6) a minimum Linguaskill overall band score of 169
In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University.
The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor? or Master? degrees from countries that use English as the medium of instruction as well as the first language",,,,,,
"Programmes And Courses, Faculty Of Creative Multimedia (fcm), Bachelor Of Multimedia (hons.) Advertising Design",Bachelor of Multimedia (Hons.) Advertising Design,Faculty of Creative Multimedia (FCM),3 years,"RM62,250.00","RM75,000.00","Advertising Design is a three-year degree programme focused on producing creative advertising content. Students are trained to master persuasive communication through design and multimedia applications. This programme emphasises on the understanding of branding, positioning, advertising strategy, media applications and product solutions. The creative process and final artwork are given great emphasis in order for our students to develop and enhance their skills and abilities to excel in this field.",https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fcm/advertising-design/,,"Pass Foundation/Matriculation studies in related field from a recognised institution; OR
Pass STPM or its equivalent with a minimum of Grade C (GPA 2.00) in any two (2) subjects; OR
Pass A-Level with a minimum of Grade D in any two (2) subjects; OR
Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English; OR
Recognised Creative Multimedia Diploma or its equivalent with a minimum CGPA of 2.50; * OR
Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field. ** AND
Pass an interview OR submission of student's portfolio, to be determined by MMU as required.

* Candidates with CGPA below 2.50 may be admitted subject to a rigorous internal assessment process..
** DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement.",,"Core

Year 1

Advertising Design 1
Advertising Design 2
Web Design
Environmental Design
Media Culture
Video Production
Media Aesthetics
3D Modelling and Printing
Internet and Mobile Application
Mobile App Design and Development


Year 2

Advertising Design 3
Advertising Design 4
Audio Visual for Advertising
E-marketing
Multimodal Interaction Design
Semiotic Studies
Sound Design 1
Media Anthropology
Internship
Integrated Marketing Communication
Video Production for Advertising


Year 3

Advertising Design Project 1
Advertising Design Project 2
Interactive Technology for Advertising
Design Research
Sound Design 2
Media Law




Elective Modules

Corporate Identity
Diagram Design
Project Management
Motion Capture


University Subjects

Workplace Communication
Hubungan Etnik (Local)
Pengajian Malaysia 3 (International)
Tamadun Islam dan Tamadun Asia (Local)
Bahasa Melayu Komunakasi 2 (International)
Co-curriculum
Bahasa Kebangsaan A (Local)
Foreign Languages (Local and International)
Introduction to Multicultural Studies in Malaysia","Art Director, Designer, Manager in Publications, Corporate and Communication Departments, Advertising Agencies, Design Houses, Production Houses, Retailer; or
Manager, Designer, Art Director for Film, Animation, Music Production Houses and Broadcast Agencies; or
Manager of Art, Design, Branding for Retailers, Entrepreneurs, Product Designs; or
Manager, Designer for Advertising related activities for small businesses;
Online, Print, Exhibition, Outdoor, Web Advertising",,"I. Pass Foundation/Matriculation studies in related field from a recognised institution. OR
II. Pass STPM or its equivalent with a minimum of Grade C (GPA 2.00) in any two (2) subjects; OR
III. Pass A-Level with a minimum of Grade D in any two (2) subjects; OR
IV. Recognised Creative Multimedia Diploma or its equivalent with a minimum CGPA of 2.50;* OR
V. Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field. ** AND
VI. Pass an interview OR submission of student? portfolio, to be determined by MMU as required, AND
VII. A minimum score of 5.0 for IELTS or its equivalent.
*Candidates with CGPA below 2.50 may be admitted subject to a rigorous internal assessment process.
**DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement.",,,,,,
"Programmes And Courses, Faculty Of Management (fom), Bachelor Of Accounting (hons.)",Bachelor of Accounting (Hons.),Faculty of Management (FOM),4 years,"RM73,000.00","RM87,500.00","Accounting is the language of business, and accountants help business leaders make smart financial decisions. The Bachelor of Accounting is a four-year programme that is recognised by the Malaysian Institute of Accountants. It provides students with the knowledge and skills required to become professional accountants.",https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fom/bachelor-of-accounting-hons/,,"Pass Foundation / Matriculation from a recognised institution with a minimum CGPA of 2.50, AND a credit in Mathematics AND a pass in English at SPM level; OR
Pass STPM / A level or its equivalent with minimum Grade (C+) in 3 subjects inclusive of Mathematics / Accounting AND a credit in Mathematics AND a pass in English at SPM level; OR
Pass STAM with minimum grade Jayyid in 2 subjects AND a credit in Mathematic AND a pass in English at SPM; OR
Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics AND English; OR
Pass Diploma in related field from a recognised institution with a minimum CGPA of 2.50, a Credit in Mathematics AND a Pass in English at SPM Level; AND
A minimum score of band 2 in MUET*. (Candidates not meeting this requirement may be subjected to an internal review process)
English entry requirement for International students ??a minimum score of 5.5 in IELTS or its equivalent.

* MUET Exemption will be granted if students have completed a pre-university or diploma programme that is conducted in English.",,"Core

Year 1


English for Business Studies
English for Business Communication
Quantitative Analysis
Microeconomics
Macroeconomics
Principles of Finance
Management
Fundamentals of Financial Reporting
Financial Accounting & Reporting 1
Management Accounting 1



Year 2


Organisational Behaviour
Business Law
Corporate Finance
Principles of Marketing
Financial Accounting & Reporting 2
Management Accounting 2
Public Sector Accounting
Auditing
Taxation 1



Year 3


Strategy
Company Law and Secretarial Practice
Advanced Auditing (ICAEW Strategic Paper)
Corporate Accounting 1
Taxation 2
Professional Ethics
Accounting Theory
Advanced Management Accounting
Securities Investment and Portfolio Management
Accounting Information Systems



Year 4


Corporate Accounting 2
Advanced Taxation
Integrated Case Study in Accounting
Accounting System Analysis and Design
Management Decision Science
Accounting Industrial Training





Elective Modules

Elective subjects (12 Credit Hours) may be taken from any elective subjects offered in B.Acc. (Hons.) programme. The subjects are offered based on the availability of teaching expertise and at the faculty's discretion:

Financial Statement Analysis
Management Consultancy
Business Planning-Taxation (ICAEW)
Technology Management
Global Business Service
Internal Auditing
Forensic Accounting
Advanced Financial Accounting & Reporting (ICAEW)
Business Analytics
Production & Operation Management
E- Auditing
Enterprise Resource Planning (ERP) Systems
Tax Compliance (ICAEW)
Digital Transformation Technologies
Human Resource Management



University Subjects


U1 ??Hubungan Etnik (Local) OR Pengajian Malaysia 3 (International)
U1 ??TITAS (Local) or BM Komunikasi 2 (International)
U2 ??Bahasa Kebangsaan A or Foreign Language for Beginners
U3 ??Islamic Institutions in Malaysia / Introduction to Multicultural Studies in Malaysia / Stress and Well-Being Among Malaysian
U4 ??Co-Curriculum","Professional accountants that may specialise in taxation, forensic accounting and investigation, auditing, management accounting, financial accounting, public sector accounting, accounting information systems, academician, consultant, and shared services.","ACCA
Exemptions:
9 out of 13 papers
Papers to take:
Essentials papers:
??Strategic Business Level (SBL)
??Strategic Business Reporting
Options?(Choose TWO papers):
??Advanced Financial Management (AFM)
??Advanced Performance Management (APM)
??Advanced Taxation (ATX)
??Advanced Audit and Assurance (AAA)
MoU Benefits:
??ACCA Accelerate Programme (eligible to sit for ACCA papers before graduation; T&C apply)

ICAEW
Exemptions:
8 out of 15 papers (with up to 12 papers via strategic credits)
Papers to take:
??Business Planning
??Audit and Assurance
??Financial Accounting and Reporting
??Tax Compliance
??Corporate Reporting
??Strategic Business Management
??Case Study
MoU Benefits:
??Eligible to sit 4 ICAEW strategic papers before graduation (T&C apply)

CIMA
Exemptions:
8 out of 16 papers (Final year students with CGPA 3.50 only need to sit for the Strategic Case Study Exam) 
Papers to take:
??E2 Managing Performance
??E3 Strategic Management
??P2 Advanced Management Accounting
??P3 Risk Management
??F2 Advanced Financial Reporting
??F3 Financial Strategy
??Management Case Study Exam
??Strategic Case Study Exam
MoU Benefits:
??Eligible to sit for papers before graduation (T&C apply)
??CIMA A Star Program (T&C apply)
??CGMA Finance Leadership Program (T&C apply)

MICPA
Exemptions:
4 out of 12 papers
Papers to take:
??Ethics & Business
??Risk & Technology
??Financial Accounting & Reporting
??Audit & Risk
??Business Performance
??Taxation (MY)
??Integrated Chartered Accounting Practice
??One (1) elective
MoU Benefits:
??Students are eligible to begin the MICPA Programme as early as Year 3. (T&C apply)

CPA Australia
Exemptions:
Direct entry to CPA Program
Papers to take:
??Ethics and Governance
??Strategic Management Accounting
??Financial Reporting
??Global Strategy & Leadership
??TWO (2) Electives
MoU Benefits:
??Eligible to sit for papers before graduation (T&C apply)

MAICSA (The Malaysian Institute of Chartered Secretaries and Administrators)
Exemptions:
12 out of 16 papers

CTIM (Chartered Tax of Institute of Malaysia)
Exemptions:
5-6 out of 8 papers","I. Pass Foundation/Matriculation studies from a recognised institution with a minimum CGPA of 2.50, AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
II. Pass STPM or its equivalent with a minimum Grade C+ (GP 2.33) in 2 subjects AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
III. Pass A-Level with a minimum of Grade D in 2 subjects AND a Credit in Mathematics and a Pass in English at SPM/O- Level or its equivalent; OR
IV. Pass Diploma in related field from a recognised institution with a minimum CGPA of 2.50, a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
V. Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.* AND A minimum score of band 2 in MUET** AND
VI. A minimum score of 5.5 for IELTS or its equivalent.
Note:
*DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement.
**MUET Exemption will be granted if students have completed a pre-university or diploma programme that is conducted in English. ",,,,,,
"Programmes And Courses, Faculty Of Management (fom), Bachelor Of Financial Engineering (hons.)",Bachelor of Financial Engineering (Hons.),Faculty of Management (FOM),3 years 6 months,"RM58,170.00","RM70,200.00","The three-and-a-half-year programme equips students with the knowledge blend in IT, mathematics and finance as well as financial modelling skills crucial for the financial technology (FINTECH) industry. The programme will provide students with financial acumen and thorough understanding of strategic technology in business finance. Students will delve into fundamental financial subjects such as Principles of Finance, Investment, Financial Derivatives, Mathematics for Finance and others. The finance fundamentals are then supplemented with fintech-related subjects to produce tech-savvy and competitive graduates. The subjects included are Financial Modelling, Mathematical Programming, Digital Transformation Technologies, Analytical Programming, Monte Carlo Simulation Technique and Numerical Analysis. In addition, hands-on practice with finance-related software and database such as Datastream and Bloomberg for their Research Project greatly enhance their experience and resumes that will impress potential employers.",https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fom/bachelor-of-financial-engineering-hons/,,"Pass Foundation/Matriculation studies from a recognised institution with a minimum CGPA of 2.50 AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
Pass STPM or its equivalent with a minimum Grade C+ (GP 2.33) in 2 subjects AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
Pass A-Level with a minimum of Grade D in 2 subjects AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English; OR
Pass STAM with a minimum Grade Jayyid (Good) in 2 subjects AND a Credit in Mathematic AND a Pass in English at SPM Level or its equivalent; OR
Any qualification equivalent to Diploma in Finance, Banking, Insurance or related field (Level 4, MQF) with a minimum CGPA of 2.50 out of 4.00; OR
Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*

Note:
The Credit requirement for Mathematics and Pass in English at SPM Level for candidate in category (i), (ii), (iii) and (v) can be waived should the qualifications contain Mathematics and English subjects with equivalent higher achievement.
*DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement.",,"Core

Year 1

Management
Mathematics for Finance
Accounting for Decision Making
Personal Finance
Statistics for Finance
Principles of Finance
Fundamental of Marketing
English for Business Studies
Ethics and Governance
Fundamental of Economics
Corporate Finance
Digital Transformation Technologies


Year 2

Elective 1
Mathematical Programming
Stochastic Processes and Applied Probability
Investments
Entrepreneurial Finance
International Finance
Financial Markets and Institutions
Financial Statistical Analysis
English for Business Communication
Financial Statement Analysis
Analytical Programming
Digital Media in Business
Basic Econometrics


Year 3

Numerical Analysis
Corporate Financial Strategies
Time Series Analysis & Forecasting
Monte Carlo Simulation Techniques
Research Methodology
Business Law
Research Project
Financial Modeling
Financial Derivatives
Behavioural Finance
Business Analytics
Elective 2
Elective 3
Elective 4


Year 4

Industrial Training




Elective Subjects

Bank Management
Islamic Banking
Financial Risk Management
Retirement Planning
Portfolio Management


University Subjects

U1 Hubungan Etnik
U1 TITAS
U3 Islamic Institutions in Malaysia, or Introduction to Multicultural Studies in Malaysia, or Stress and Well-Being Among Malaysian
U4 Co-curriculum
U2 Bahasa Malaysia/ Foreign Language
U1 ??Pengaijan Malaysia
U1 ??BM Komunikasi 2
U2 Entrepreneurship in Cross Border E-commerce","Finance Consultant, Financial Engineer, Researchers, Analysts, Executives and Finance Managers, Investment Bankers, Risk Manager, Hedge Fund Manager, Financial Planner, Trade Finance Officer, Risk Analyst and Academician.",,"I. Pass Foundation/Matriculation studies from a recognised institution with a minimum CGPA of 2.50 AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
II. Pass STPM or its equivalent with a minimum Grade C+ (GP 2.33) in 2 subjects AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
III. Pass A-Level with a minimum of Grade D in 2 subjects AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR
IV. Any qualification equivalent to Diploma in Finance, Banking, Insurance or related field (Level 4, MQF) with a minimum CGPA of 2.50 out of 4.00. OR
V. Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.* AND
VI. A minimum score of 6.0 for IELTS or its equivalent.
Note:
The Credit requirement for Mathematics and Pass in English at SPM Level for candidate in category (i), (ii), (iii) and (v) can be waived should the qualifications contain Mathematics and English subjects with equivalent higher achievement.
*DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement.",,,,,,
